feature_family,representative_feature,representative_auc_separation,representative_auc_udp_vs_tcp,higher_value_class,mean_diff_udp_minus_tcp,tcp_mean,udp_mean,tcp_std,udp_std,std_ratio_udp_over_tcp,variance_ratio_udp_over_tcp,cohens_d_udp_minus_tcp,family_mean_auc_separation,family_max_auc_separation,spread_representative_feature,spread_abs_log_std_ratio,spread_std_ratio_udp_over_tcp,spread_higher_class,spread_feature_auc_separation,n_concrete_features,n_tcp,n_udp
MI_dir_mean,MI_dir_L1_mean,0.5001634793241916,0.4998365206758084,gafgyt_tcp,-0.05830585776108421,60.20853808599486,60.150232228233776,8.175381598559731,7.3140577320445805,0.8946442002576502,0.8003882450546503,-0.007516853205569364,0.5001473119313085,0.5001634793241916,MI_dir_L0.01_mean,1.0822518695261005,0.33883166121384745,gafgyt_tcp,0.5001476034858388,5,30600,30600
HpHp_pcc,HpHp_L0.01_pcc,0.5001471453287198,0.5001471453287198,gafgyt_udp,1.45309773328477e-05,5.255530312667485e-06,1.9786507645515183e-05,0.0009193423330519869,0.0017371620077422363,1.8895703431552993,3.570476081732036,0.010455669437424084,0.5000555765944723,0.5001471453287198,HpHp_L3_pcc,18.699173222283164,132113666.82056266,gafgyt_udp,0.5000000074757572,5,30600,30600
HpHp_mean,HpHp_L1_mean,0.5001470903285061,0.4998529096714938,gafgyt_tcp,0.008763623070947801,60.135036292583315,60.14379991565426,8.018675344381272,9.871875900727174,1.2311105608789175,1.5156332131076025,0.000974478804753692,0.5001241897347175,0.5001470903285061,HpHp_L0.01_mean,0.2510676270574332,1.2853970090092848,gafgyt_udp,0.500114258404887,5,30600,30600
HH_radius,HH_L0.1_radius,0.5001469263958307,0.4998530736041693,gafgyt_tcp,-10.795318409630132,10.89090331760754,0.09558490797740697,994.4897199589369,3.6382723510468304,0.003658431332198242,1.3384119812409808e-05,-0.015351373908397052,0.5001207725661072,0.5001469263958307,HH_L0.01_radius,6.074810367348533,0.002300082315479523,gafgyt_tcp,0.5001141985988296,5,30600,30600
HH_std,HH_L0.1_std,0.5001469205220215,0.4998530794779786,gafgyt_tcp,-0.031598068282737396,0.038518231607034735,0.006920163324297339,2.8086156325881624,0.25433138487214246,0.09055400173706717,0.008200027230596766,-0.015845643101743988,0.5001109846640182,0.5001469205220215,HH_L0.1_std,2.40180890195648,0.09055400173706717,gafgyt_tcp,0.5001469205220215,5,30600,30600
HpHp_magnitude,HpHp_L0.01_magnitude,0.5001308225468837,0.4998691774531163,gafgyt_tcp,-0.03191763883415888,60.20953227841408,60.17761463957992,10.652036208474252,10.172177664781223,0.9549514727230014,0.9119323152558293,-0.0030646216343825135,0.500130798304071,0.5001308225468837,HpHp_L5_magnitude,0.14720342800461111,0.8631183771067167,gafgyt_tcp,0.5001308070613866,5,30600,30600
HpHp_weight,HpHp_L0.01_weight,0.5001307584689649,0.499869241531035,gafgyt_tcp,-0.006905976468305708,1.025246817505466,1.0183408410371604,0.8585066225180686,0.7305567369725328,0.8509622614555393,0.7241367704215257,-0.008663843231450257,0.5001306809346833,0.5001307584689649,HpHp_L1_weight,0.5361603721252536,1.7094306675529265,gafgyt_udp,0.5001306516724338,5,30600,30600
H_weight,H_L3_weight,0.5001307290999188,0.4998692709000812,gafgyt_tcp,-3.1681325355581436e-05,1.0010356553005475,1.001003973975192,0.04686645516346172,0.047866227465232836,1.0213323644445498,1.0431197986618947,-0.0006688201011499972,0.5001209081977017,0.5001307290999188,H_L1_weight,0.22946114427202277,1.2579219887990862,gafgyt_udp,0.5001143673373489,5,30600,30600
MI_dir_weight,MI_dir_L3_weight,0.5001307290999188,0.4998692709000812,gafgyt_tcp,-3.1681325355581436e-05,1.0010356553005475,1.001003973975192,0.04686645516346172,0.047866227465232836,1.0213323644445498,1.0431197986618947,-0.0006688201011499972,0.5001209081977017,0.5001307290999188,MI_dir_L1_weight,0.22946114427202277,1.2579219887990862,gafgyt_udp,0.5001143673373489,5,30600,30600
HH_jit_variance,HH_jit_L3_variance,0.5001306313810927,0.49986936861890724,gafgyt_tcp,43868522852745.984,8104927109642.466,51973449962388.45,1046769131109076.6,4628665451690365.0,4.421858950680161,19.55283657971025,0.013073179292581926,0.5001208506343714,0.5001306313810927,HH_jit_L5_variance,2.107646075755348,8.228848383156118,gafgyt_udp,0.5001305528856422,5,30600,30600
HH_jit_weight,HH_jit_L3_weight,0.5001306126916998,0.4998693873083002,gafgyt_tcp,0.00024284525192963535,1.000308846805692,1.0005516920576216,0.020397053095555517,0.028922695223268693,1.4179840140520543,2.0106786641071763,0.00970387035441681,0.5001208451877484,0.5001306126916998,HH_jit_L1_weight,0.5510927433821599,1.7351480538377162,gafgyt_udp,0.5001143085992568,5,30600,30600
HH_weight,HH_L3_weight,0.5001306126916998,0.4998693873083002,gafgyt_tcp,0.00024284525192963535,1.000308846805692,1.0005516920576216,0.020397053095555517,0.028922695223268693,1.4179840140520543,2.0106786641071763,0.00970387035441681,0.5001208451877484,0.5001306126916998,HH_L1_weight,0.5510927433821601,1.7351480538377166,gafgyt_udp,0.5001143085992568,5,30600,30600
